pdb,affinity
1w7g,5.1
6nmb,2.7
2y81,8.7
1o3i,7.3
2p95,9.37
2zc9,6.74
5u6j,7.64
3sv2,4.19
4x8v,6.89
1mu8,9.0
1xka,6.88
4o97,8.52
4hfp,7.38
4ax9,9.57
2zft,6.52
1o2j,6.92
3p17,4.48
2vvv,8.22
4z0k,6.34
4abg,3.57
1g3e,5.38
1qbn,5.85
2xbv,8.43
5l30,9.14
1pph,5.92
2r2m,7.33
1lpk,7.55
3aas,4.51
1g3d,5.55
1j16,3.84
1oyt,7.24
1c4u,10.37
1c1r,7.63
1t4v,7.68
1o2h,7.17
1mq5,9.0
1f5l,5.28
1nfu,7.74
1o2n,6.09
1ghw,4.2
1o35,5.0
1nt1,8.89
2cf8,8.1
1mq6,11.15
2bvr,3.7
1v2r,3.55
2jh6,7.77
1owe,6.2
1o38,6.82
1d6w,5.96
1o3f,7.96
1bcu,3.28
3shc,5.72
1o2z,6.11
2y80,8.05
4h42,3.47
1sl3,11.85
1tx7,4.6
1c1u,8.25
1k1o,6.17
3da9,5.51
3si4,3.88
3gy2,5.74
2wyj,9.0
3qtv,4.65
1z71,9.18
2zgx,6.74
3kgp,2.57
2y7x,8.89
1c5t,4.1
3si3,4.16
2uwo,8.7
2y7z,8.7
2w26,9.4
1qbv,5.39
1v2u,3.37
1sqt,6.2
2b7d,8.7
1mue,8.64
1ejn,5.62
4yes,8.02
1o36,5.96
4isi,8.14
1v2l,4.29
1c5s,6.0
1nfw,8.96
1y3x,5.14
2zfp,5.17
1p57,4.4
1g2l,7.24
4ish,8.72
3qx5,4.2
1ppc,6.16
4zae,8.44
2boh,8.52
2vh0,8.51
1k1l,6.9
1d3d,9.09
2bok,6.55
2zfs,6.54
1yp9,5.11
3cs7,10.68
1uvt,7.64
2jh5,6.44
4abh,4.15
1g32,6.11
1sb1,6.89
1ql7,5.0
1o5g,4.96
1f5k,3.74
6fuh,3.77
6gwe,7.38
1ta6,9.13
1ypg,8.0
2xc0,6.72
1o33,5.74
3gy7,4.52
4bak,8.91
1gjc,6.35
4o9v,8.0
1utm,3.01
1o5a,6.42
2xc4,8.05
4abb,4.51
1o3j,6.77
2bvs,4.1
1tng,2.93
1tom,8.3
1o2r,5.21
2j4i,9.0
1ghz,4.8
1j17,5.22
2zdn,6.25
1c1v,7.64
2zq2,6.56
1qb1,6.77
1o2w,5.85
1gi4,7.19
2ra0,7.8
4jzi,7.4
1tnh,3.37
3ffg,9.08
1ksn,9.4
1uto,2.27
1nfy,8.89
1o3l,6.54
1v2t,4.71
1utn,3.49
1o5e,5.74
2fx6,3.7
3m37,9.04
1gi1,5.47
5k0h,7.09
3bv9,5.36
3m35,7.22
2bza,2.8
1qb9,7.44
1fjs,9.96
2y5g,6.84
2vh6,9.7
5zae,6.81
1j14,4.49
2cf9,7.82
2y5h,5.79
2j2u,7.33
5za9,6.74
1bju,4.8
1ype,8.1
5za7,5.87
3aau,5.05
4abf,4.62
1c5x,6.68
2tpi,4.31
5zaj,7.38
2jh0,8.7
5egm,8.62
3tu7,8.09
1v2n,5.9
1owh,7.4
1vzq,7.44
1utj,3.84
1k21,8.38
3gy3,5.63
1z6e,9.72
2xbx,7.82
1d3p,7.39
5za8,6.29
1nm6,10.05
1zgi,5.34
4bam,8.94
4ban,8.61
4ab9,3.33
2zda,8.4
1ypj,7.02
1v2w,4.01
2j34,7.82
1v2j,3.25
1w11,8.22
2vwm,7.03
1c5n,4.7
3sha,5.59
5zaf,6.78
1eb2,6.01
3mhw,2.3
3liw,7.6
1k1i,6.58
2zdk,6.37
2r2w,4.47
1bjv,5.54
4a7i,8.7
2uwp,6.81
3gy4,5.1
1qbo,7.74
2vvc,8.52
4jyt,7.4
1tni,4.0
1g36,7.17
6ftz,3.0
4loy,8.09
3nkk,4.7
2wyg,8.7
1o5c,5.22
4e7r,7.7
1nfx,8.52
1o2o,6.36
3utu,10.92
1ghv,4.35
1c5q,6.36
1w0z,7.68
2flr,6.1
1gi7,4.51
4baq,9.01
2uwl,8.4
3f68,5.06
1k1m,7.4
1d4p,6.3
1bty,4.74
1fpc,7.0
2gv6,7.34
1f0u,7.16
2vwo,7.51
1g30,6.85
1oyq,6.96
2za5,8.43
1qb6,6.06
5mnn,3.84
1f0r,7.66
2gv7,7.85
1lpz,7.6
2jkh,8.05
1mu6,8.38
4aba,3.82
1k1j,7.55
5fck,8.22
5zc5,7.06
1ghy,8.1
2bq7,7.05
4bao,8.37
1v2o,4.73
5tp0,5.44
1v2k,6.19
2zdm,6.41
1xug,7.05
2j95,8.4
3ljo,6.62
4abe,3.4
1f0s,7.74
1c5p,4.68
1w13,8.7
4yzu,5.05
2zdl,6.4
1v2s,4.17
5fbi,2.8
2p16,10.1
2fpz,3.96
1o30,6.77
4y79,7.96
6rot,6.32
1ql9,5.35
3qto,4.13
3qwc,4.26
5zag,6.97
1c5y,4.2
2vwl,7.02
1oss,4.79
4bah,8.7
1a4w,5.92
1y3v,5.64
3m36,9.82
6fuj,4.3
1f0t,6.0
2cn0,7.66
2vwn,8.0
1utl,2.47
1k22,8.4
2vnt,8.0
5mn1,2.48
4jz1,6.7
1o2q,7.68
4a6l,8.0
1sqo,7.46
1c5o,3.49
1gj6,7.0
1k1n,6.82
4na9,7.39
1sqa,9.21
1ezq,9.05
1h4w,4.66
4x8u,2.46
2y5f,8.7
6fui,4.46
1lpg,7.09
2j94,6.27
1d9i,9.11
2y82,8.4
2vvu,8.1
1o3d,7.13
1rtf,3.04
2bz6,7.09
2xbw,8.0
5e2p,8.8
5qqp,8.28
4cr9,4.1
4ty7,9.52
5qtt,8.47
4x6m,8.24
4cra,7.22
4crb,7.57
4crc,8.72
4crf,9.3
5exm,8.2
4y8x,8.43
5e2o,8.7
6c0s,7.05
4x6o,8.72
5exn,7.64
5exl,8.43
4ty6,7.52
4cr5,4.15
4x6n,8.82
1aq7,6.05
1auj,8.25
1awh,6.08
1ba8,9.0
1bb0,8.36
1bio,5.54
1bra,1.82
1c5z,4.01
1ca8,9.49
1ce5,4.74
1d3q,6.54
1doj,8.96
1eoj,13.77
1eol,13.42
1fax,7.39
1fv9,5.0
1g2m,7.4
1g37,10.0
1g3b,5.74
1g3c,5.8
1gbt,2.0
1gi6,6.22
1gi8,5.05
1gi9,5.22
1gj7,7.89
1gj8,6.96
1gja,5.42
1gjb,6.35
1gjd,5.22
1j15,3.84
1jrs,6.4
1jwt,7.85
1k1p,7.92
1ktt,5.82
1lqd,8.05
1lqe,5.82
1nc6,8.0
1o2k,6.92
1o2p,4.85
1o2s,5.47
1o2t,7.85
1o2u,5.85
1o2v,5.85
1o2x,5.85
1o2y,5.85
1o32,5.74
1o34,5.74
1o37,6.82
1o39,7.13
1o3b,7.13
1o3c,7.13
1o3e,7.96
1o3g,7.96
1o3h,7.3
1o3k,6.77
1o3p,6.66
1o5b,5.77
1owd,8.2
1owi,7.55
1owj,7.32
1owk,7.63
1oxg,10.57
1qcp,7.52
1qhr,6.89
1qj1,8.05
1qj6,7.74
1qj7,8.1
1rxp,7.14
1sfi,10.0
1ta2,8.52
1tnj,1.96
1tnk,1.49
1tnl,1.88
1tps,8.0
1tyn,9.7
1u6q,5.88
1utp,1.44
1v3x,7.62
1way,3.4
1wbg,3.0
1wu1,7.74
1y3w,5.77
1y3y,5.64
1zgv,6.0
1zom,7.52
1zpb,6.07
1zpc,6.6
1zzz,5.14
2bdy,7.77
2bmg,7.74
2bq6,10.15
2bqw,8.52
2c8w,8.43
2c8x,6.66
2c8y,4.0
2c90,3.48
2c93,4.92
2cji,8.22
2ei6,7.39
2fda,6.3
2fs8,7.6
2fs9,8.52
2fxr,7.6
2fzz,10.52
2g00,9.74
2j9n,4.7
2p93,8.82
2p94,9.17
2phb,9.49
2psx,5.77
2q1j,9.1
2vin,3.0
2vio,4.4
2vip,5.28
2viq,5.89
2viv,6.28
2viw,7.14
2w3i,10.0
2w3k,10.1
2zhd,6.54
2zq1,6.62
3aav,6.62
3ati,3.73
3atk,2.85
3atl,4.76
3atm,3.06
3bg8,5.89
3c1k,9.44
3cen,8.26
3ens,8.05
3hpt,8.19
3ig6,7.6
3iit,8.02
3k9x,8.4
3khv,1.85
3kl6,8.46
3kqb,9.3
3kqc,8.66
3kqd,9.4
3kqe,8.09
3lc3,5.23
3lc5,6.57
3ljj,6.52
3nk8,3.0
3pma,5.4
3q3k,8.13
3qn7,6.8
3rxa,2.85
3rxb,2.66
3rxd,3.73
3rxe,4.76
3rxf,2.6
3rxg,2.15
3rxh,1.8
3rxi,3.06
3rxj,3.06
3rxk,2.68
3rxl,2.62
3rxm,3.63
3rxo,4.08
3rxp,2.08
3sw2,8.33
3v7t,7.21
4ab8,3.87
4abi,8.2
4abj,7.47
4ayv,9.17
4ayy,8.17
4az2,7.33
4btu,9.3
4ch2,5.99
4ch8,5.99
4crd,7.1
4d8n,5.74
4gly,5.11
4hgc,10.0
4jk5,7.55
4jk6,7.19
4ktu,6.16
4mnv,4.94
4mnw,5.76
4mnx,4.75
4mny,5.71
4na7,9.7
4na8,8.82
4os1,5.6
4os2,6.7
4os4,4.87
4os5,4.63
4os6,6.44
4os7,4.62
4q2k,7.48
4r0i,6.52
4rn6,5.1
4wxi,8.08
4x6p,8.3
4y8y,9.15
4y8z,10.4
5eg4,7.68
5fah,6.15
5fbe,4.85
5lgo,8.22
5lh4,6.96
5lh8,7.72
5mnb,2.48
5mnc,1.31
5mng,4.68
5mnh,4.68
5mno,3.84
5mnx,2.48
5mny,1.31
5mo0,4.68
5mo2,3.84
5mon,2.48
5moo,1.31
5moq,4.68
5mos,3.79
5mt0,3.3
5mt4,3.3
5nar,6.3
5nat,4.7
5naw,7.3
5nb6,6.3
5nb7,8.22
5nba,7.3
5q0d,9.0
5q0e,9.16
5q0f,9.89
5q0g,9.74
5q0h,7.92
5qck,7.64
5qcl,7.96
5qcm,6.96
5qcn,8.22
5qqo,7.77
5qtu,8.39
5tca,7.72
5tcc,5.66
5tjx,6.82
5tks,7.17
5tkt,8.49
5tku,9.8
5tnt,8.31
5ugd,6.62
5ugg,6.42
5wb6,10.7
5y9l,5.72
5yjk,6.09
5zfi,5.92
6a8n,7.82
6ahs,5.82
6bfp,7.7
6bvh,9.15
6d3x,10.29
6d3y,8.7
6d3z,8.92
6d40,9.85
6fty,2.7
6fug,4.3
6fut,4.7
6n4t,8.09
6o21,8.46
6qfe,7.1
6qff,5.69
6qfg,5.52
6qfh,5.86
6qh9,5.0
6qha,5.3
6qhb,6.3
6qhc,5.2
6qmr,7.92
6qmt,6.92
6skb,7.7
6skc,7.1
6skd,5.8
1a2c,6.3
1a3e,8.46
1a46,5.7
1a5g,10.15
1a5h,6.3
1a61,8.62
1ad8,6.6
1aht,6.21
1awf,6.01
1b5g,8.0
1bmm,7.1
1bmn,8.44
1c4v,10.8
1c4y,7.92
1dva,8.07
1dwc,7.41
1dwd,8.18
1eb1,10.43
1ets,8.22
1ett,5.89
1gj4,4.07
1gj5,4.96
1hdt,7.76
1hgt,6.82
1iht,8.46
1k2i,3.11
1lhc,10.4
1lhd,9.62
1lhe,9.54
1lhf,8.09
1lhg,7.1
1no9,7.62
1ny2,2.76
1nzq,7.96
1o0d,8.21
1o2g,6.12
1o5f,6.07
1sc8,7.44
1tbz,9.8
1thr,5.38
1ths,7.54
1tmb,6.74
1uvs,5.4
1uvu,5.0
1v2m,4.29
1v2p,4.73
1v2q,4.13
1v2v,3.37
1vj9,7.55
1vja,7.7
1vr1,6.89
1w0y,6.42
1w10,7.55
1w12,7.85
1w14,8.52
1w2k,6.46
1w7x,8.4
1wqv,6.89
1wss,7.77
1wtg,7.03
1wun,7.21
1wv7,7.26
1x7a,7.89
1yyy,5.09
1z6j,8.03
2a2x,7.69
2aei,7.07
2ank,7.33
2anm,8.74
2bvx,8.7
2bxt,8.52
2bxu,7.15
2c4f,7.7
2f9b,6.52
2feq,8.86
2fes,9.01
2flb,5.74
2gde,8.24
2zo3,10.0
2zp0,7.6
2zzu,7.41
3dhk,7.33
3dux,7.0
3e0p,7.92
3e16,5.24
3egk,4.66
3kid,3.18
4bti,9.7
4btt,8.84
4jyu,8.0
4jyv,7.77
4jzd,8.3
4jze,8.15
4jzf,6.76
4lxb,8.15
4ng9,7.12
4nga,7.77
4u2w,6.0
4ufd,9.68
4ufe,8.15
4uff,7.96
4ufg,8.15
4x1n,6.42
4x1p,4.2
4x1q,5.3
4x1s,6.87
4x8s,1.89
4x8t,2.05
4yt6,7.96
4yt7,8.77
4zhl,6.47
4zhm,8.05
4zxx,8.1
4zxy,6.4
5jfd,9.54
5jzy,9.82
5l2y,9.85
5l2z,10.22
5lce,8.04
5lpd,10.15
5tqe,6.72
5tqf,8.3
5tqg,9.62
5wxf,4.48
5wxo,3.68
5wxp,3.35
5xg4,5.15
5z1c,2.86
5zah,7.28
6a8g,6.61
6eo8,7.0
6eo9,6.8
6gbw,8.45
7kme,4.4
4k1e,8.44
5w1e,5.24
1xsc,4.3
4myd,4.55
4pf5,5.48
4czs,5.0
1joj,4.22
1jyc,4.34
1jyi,4.0
1jn2,4.09
1xk5,6.0
4dsy,4.43
6of5,5.35
4dhl,4.48
4dt2,4.37
6g46,3.73
3puj,4.51
3puk,4.74
5epl,7.03
4x3k,4.56
4mn3,5.75
1guw,5.72
1kna,5.15
1kne,5.6
1pdq,5.3
2hug,5.97
2kvm,3.96
2l11,4.82
2l12,4.26
2l1b,3.96
2rvn,6.77
3fdt,4.52
3g7l,6.72
3gv6,3.3
3h91,3.73
3i90,3.3
3i91,3.3
3qo2,6.85
3r93,6.51
3tzd,4.28
4u68,4.31
4x3s,5.89
4x3t,4.54
4x3u,5.09
5e4w,4.64
5ejw,3.3
5epk,5.74
5eq0,5.92
6asz,4.72
6at0,4.04
6d07,5.28
6d08,5.29
5svi,5.17
5svx,6.19
4o62,5.0
4qq4,5.74
5svy,6.13
2uz9,5.71
4kn7,7.62
4kn4,7.24
4kmu,7.92
5z7b,4.89
3w37,5.18
1jq3,6.7
5hhx,8.21
5vb9,5.89
2b1r,1.0
2d2v,1.0
2b1q,1.59
4rh5,6.9
2vr3,4.98
6p7p,6.15
6p7q,5.36
5wa9,6.76
5km9,4.25
5i2e,6.64
6n3v,5.61
5i2f,6.49
6n3y,5.44
6n3x,5.09
5wa8,6.23
6n3w,5.81
5klz,6.37
5km0,5.31
5km3,4.6
5km5,6.92
1r5n,5.42
1rin,3.15
6a87,3.15
6fx1,3.98
2k00,4.62
6ooy,4.66
2az5,5.27
4twt,8.0
6ooz,8.05
6op0,7.86
4c1y,3.6
1ofz,4.62
4d52,3.11
3lcu,3.52
3lcv,4.74
2jk9,6.82
5xn3,6.17
6dn5,7.49
6dn6,8.15
6e5l,7.18
6e5t,6.55
5ha1,7.19
6e6m,5.75
5hbs,7.73
5ogb,7.47
1cbr,9.4
2cbr,6.85
2cbs,8.22
2fr3,8.7
2g78,6.92
2g79,6.92
3cbs,7.24
3cwk,6.6
4ede,7.38
4eej,7.15
4efg,7.26
4exz,7.54
4gkc,6.82
4i9r,6.95
4i9s,6.79
4ruu,7.54
6e5s,6.44
6e7m,6.66
2fu8,4.7
5evb,5.0
5evd,5.0
2qdt,5.19
5evk,4.92
5dpx,4.46
2gfj,3.82
2gfk,4.52
2hb9,4.82
5hh5,6.3
5hh6,6.4
5zgg,5.0
4ipi,5.32
6ppy,4.44
4ipj,4.87
2wqp,5.51
4few,5.21
4fev,5.42
4gki,4.46
4gkh,4.67
3k05,4.85
2azm,5.66
3wp0,4.99
5ypo,7.1
3wp1,4.85
1ekb,6.0
5yun,5.52
4mvn,5.46
3ufa,5.0
6qau,7.48
6qas,7.74
6qav,8.31
4wno,6.8
4wnp,8.1
5ci7,6.92
6qat,7.33
1wvc,4.46
6fdu,3.69
6fdq,3.95
6o5g,5.7
6eeb,5.3
1ctr,6.0
1iwq,8.06
1oqp,7.3
1qiw,7.74
1xa5,6.5
2lgf,5.57
2ll6,10.0
2ll7,8.8
2llo,5.82
2llq,5.82
2mg5,6.15
2n27,6.55
2w73,6.52
3if7,7.21
5j7j,5.07
5nin,7.12
5w88,4.52
5wcl,4.52
6m7h,4.7
6mv3,3.33
1lxf,4.1
1mxl,3.81
2kfx,4.0
2krd,2.7
5l0h,5.64
5l0c,6.15
2wuf,4.29
5jz9,3.57
5jzb,3.39
5jzs,3.27
2fum,6.1
3f69,6.0
5u94,7.19
6b2p,8.89
6b2q,8.05
4ra1,5.94
4zei,5.88
4zec,5.82
4zek,5.66
4zeb,6.52
4zed,5.12
4wj7,4.89
5glu,4.02
6pka,5.92
6cfd,7.86
4u0g,5.29
5dl1,5.0
2b4l,4.77
2b4m,3.53
3chg,3.99
5nxx,4.77
6nt2,8.82
4ryl,7.28
3smq,5.02
3e85,5.38
4c94,5.05
4qip,5.15
3r7b,6.15
2zjf,7.72
5ly3,7.51
4oon,7.52
6eol,7.43
6qln,4.66
3t1m,3.04
5h9r,6.08
6eog,5.8
6qlq,4.51
5e89,7.85
6qlt,4.04
6qgf,6.0
6qlo,5.06
6qlr,4.82
6qlp,5.28
1kjr,6.06
6qlu,4.64
6qls,5.35
6qge,5.68
3oyw,4.11
3oy8,3.66
5t7s,4.1
3ap4,3.92
5duw,3.29
2nn8,3.59
2xg3,4.74
3ap7,3.0
3aya,4.33
3ayc,4.24
3ayd,4.19
3i8t,3.22
3t1l,3.26
3t2t,2.4
3zxe,3.35
4jc1,4.3
4jck,2.37
4lbl,4.96
4lbo,5.77
4y24,6.66
4ym2,2.85
5e88,7.19
5e8a,7.47
5h9p,7.17
5h9q,4.42
5h9s,4.06
5nf9,5.33
5nfa,5.25
5nfb,6.11
5oax,7.57
5ody,8.4
6g0v,3.78
6i74,5.47
6i75,4.64
6i76,5.07
6i77,4.96
6i78,4.74
5tyj,7.46
5tyk,7.65
5tyl,7.82
5tyn,9.28
5tyo,8.21
5typ,7.6
5aes,2.89
3qqs,5.82
3uu1,5.2
3r88,4.82
4n8q,3.42
4m0r,5.21
4ij1,5.4
4gkm,5.17
4owv,4.35
4owm,2.96
3twp,3.92
3qs8,4.74
3r6c,4.72
4giu,5.33
4own,4.22
4owo,4.47
2hf8,5.47
3r24,5.25
4tq3,5.49
1duv,11.8
5o7e,8.0
5sxk,4.7
4lko,8.22
5kby,8.82
2oag,8.47
3sww,8.4
4jh0,9.03
2aj8,6.2
3nox,8.66
1n1m,5.7
2ole,7.25
1nu8,5.42
1orw,7.6
1rwq,10.0
1x70,7.74
2ajb,5.5
2ajd,10.8
2bgn,5.7
2bgr,3.6
2bua,4.52
2bub,7.05
2buc,7.0
2fjp,8.37
2g5p,8.42
2g5t,9.09
2g63,8.17
2gbf,7.92
2gbg,7.25
2gbi,8.52
2hha,6.91
2i03,9.0
2i3z,8.7
2iit,8.59
2iiv,8.18
2ogz,7.08
2onc,7.89
2oph,7.8
2oqi,8.49
2oqv,8.4
2p8s,7.68
2qky,9.61
2qoe,7.6
2qt9,8.64
2qtb,8.32
2rgu,9.0
2rip,7.19
3bjm,8.3
3c43,7.72
3c45,9.68
3ccb,4.52
3ccc,8.1
3d4l,7.49
3eio,6.65
3f8s,7.89
3g0b,8.15
3g0c,5.7
3g0d,8.3
3g0g,8.3
3hab,8.38
3hac,8.17
3kwf,8.17
3kwj,9.3
3o95,8.28
3o9v,7.74
3oc0,6.28
3opm,6.62
3sx4,8.52
3vjk,9.43
3vjl,8.25
3vjm,9.43
3w2t,7.53
3wqh,8.48
4g1f,7.77
4j3j,7.51
4n8d,4.92
4n8e,7.7
4pv7,6.63
5i7u,8.77
5ism,9.15
5t4b,9.38
5t4e,5.36
5t4f,8.0
